,id,station,date,prcp,tobs
394,12582,USC00519281,2011-01-31,0.07,60.0
395,12583,USC00519281,2011-02-01,0.0,62.0
396,12584,USC00519281,2011-02-02,0.0,67.0
397,12585,USC00519281,2011-02-03,0.0,68.0
398,12586,USC00519281,2011-02-04,0.0,62.0
399,12587,USC00519281,2011-02-05,0.0,65.0
400,12588,USC00519281,2011-02-06,0.0,75.0
401,12589,USC00519281,2011-02-07,1.33,67.0
402,12590,USC00519281,2011-02-08,1.43,70.0
403,12591,USC00519281,2011-02-09,0.0,69.0
404,12592,USC00519281,2011-02-10,0.0,67.0
405,12593,USC00519281,2011-02-11,0.98,71.0
406,12594,USC00519281,2011-02-12,0.98,68.0
407,12595,USC00519281,2011-02-13,1.47,72.0
408,12596,USC00519281,2011-02-14,0.0,67.0
409,12597,USC00519281,2011-02-15,0.0,69.0
410,12598,USC00519281,2011-02-16,0.84,73.0
411,12599,USC00519281,2011-02-17,0.07,72.0
412,12600,USC00519281,2011-02-18,0.53,74.0
413,12601,USC00519281,2011-02-19,0.0,73.0
414,12602,USC00519281,2011-02-20,2.69,73.0
415,12603,USC00519281,2011-02-21,0.01,67.0
416,12604,USC00519281,2011-02-22,0.03,70.0
417,12605,USC00519281,2011-02-23,0.0,69.0
418,12606,USC00519281,2011-02-24,1.06,67.0
419,12607,USC00519281,2011-02-25,0.03,63.0
420,12608,USC00519281,2011-02-26,0.0,73.0
421,12609,USC00519281,2011-02-27,0.01,74.0
422,12610,USC00519281,2011-02-28,0.0,66.0
423,12611,USC00519281,2011-03-01,0.03,66.0
424,12612,USC00519281,2011-03-02,0.0,68.0
425,12613,USC00519281,2011-03-03,0.69,69.0
426,12614,USC00519281,2011-03-04,1.25,70.0
427,12615,USC00519281,2011-03-05,0.26,67.0
428,12616,USC00519281,2011-03-06,1.51,74.0
429,12617,USC00519281,2011-03-07,0.01,73.0
430,12618,USC00519281,2011-03-08,0.39,69.0
431,12619,USC00519281,2011-03-09,0.01,72.0
432,12620,USC00519281,2011-03-10,2.39,70.0
433,12621,USC00519281,2011-03-11,0.34,70.0
434,12622,USC00519281,2011-03-12,0.01,76.0
435,12623,USC00519281,2011-03-13,0.01,72.0
436,12624,USC00519281,2011-03-14,0.0,65.0
437,12625,USC00519281,2011-03-15,0.0,67.0
438,12626,USC00519281,2011-03-16,0.0,73.0
439,12627,USC00519281,2011-03-17,0.04,71.0
440,12628,USC00519281,2011-03-18,0.09,73.0
441,12629,USC00519281,2011-03-19,0.17,71.0
442,12630,USC00519281,2011-03-20,0.17,72.0
443,12631,USC00519281,2011-03-21,0.0,71.0
444,12632,USC00519281,2011-03-22,0.1,70.0
445,12633,USC00519281,2011-03-23,0.17,72.0
446,12634,USC00519281,2011-03-24,0.21,71.0
447,12635,USC00519281,2011-03-25,0.02,74.0
448,12636,USC00519281,2011-03-26,0.02,73.0
